pid,label,performer,date_uploaded,embed_url,length,uploaded_by,video_title,video_notes,narrative,rights,location,related_docs,personal_notes
vid0011,Performance by MPrynt,MPrynt,"January 19, 2015",www.youtube.com/embed/-BIjUy_Z19s,1:45,MPrynt,“Lift Every Voice and Sing”,"In honor of Martin Luther King Day, MPrynt sings a special rendition of the Black Natioal Anthem","MPrynt, a four-part harmonic group; a cappella performance. The group recorded the song in honor of Dr. Martin Luther King, Jr.'s birthday observation. The song appears to have been recorded in a building hallyway (possibly a school, or apartment building). One commenter (Roscoe J, comments section) notes the irony of the sounds of sirens in the background of the performance of this song by young black men. User Prince Philipps responds “gave me chills.” They sing only the first verse.","MPrynt, 2015.",n/a,,
vid0012,The Anacreon Song,John Townley,"August 27, 2010",www.youtube.com/embed/ydAIdVKv84g,2:25,Joao Rocha,“The Anacreon Song”,"The song was written for the Anacreontic Society, probably around 1771. The tune (...) is now thought to have been written “collectively” by members of the society, led by John Stafford Smith (...). The society met every two weeks to get drunk, sing songs and to indulge in some debauchery. Anacreon himself was a Greek poet from about 570BC who was noted for his erotic poetry (...) and his drinking songs.

To Anacreon in Heav'n, where he sat in full glee,
A few sons of harmony sent in a petition
That he their Inspirer and patron would be;
When this answer arriv'd from the Jolly Old Grecian
“Voice, fiddle and flute,
“no longer be mute,
“I'll lend you my name and inspire you to boot,
“And, besides, I'll instruct you, like me, to intwine
“The Myrtle of Venus with Bacchus's Vine.”

(...)

Ye Sons of Anacreon, then join hand in hand;
Preserve unanimity, friendship and love!
'Tis yours to support what's so happily plann'd;
You've the sanction of Gods and the fiat of Jove.
While thus we agree
Our toast let it be:
“May our club flourish happy, united and free!
“And long may the sons of Anacreon intwine
“The Myrtle of Venus with Bacchus's Vine.”

Source: http://www.miketodd.net/encyc/anacreo... ; Song performed by John Townley, from “The Top Hits Of 1776”, Adelphi Records; Picture: “Drinking-song”, Mihály Zichy, 1874. ","This performance of “The Anacreon Song,” is included in the collection as a point of comparison between “Lift Every Voice and Sing,” “The Star-Spangled Banner,” and “Lift Every Voice and Sing.” The video features an image of “Drinking-song”, by Hungarian painter, Mihály Zichy, 1874.",Adelphi Records,n/a,,
vid0013,Performance by Gladys Knight and BeBe Winans,"Gladys Knight and Bebe Winans, with Manzari Brothers (tap dancers)","July 4, 2012",www.youtube.com/embed/HweqkrvI6Z0,4:35,Largo3point0,Gladys Knight and BeBe Winans (2012),n/a,"BeBe Winans sings the first verse of the song. Knight emeges in the final lines of the first verse, to audience applause. She performs the second verse. Toward the end of her verse, the camera pans to the audience, shown standing. Some people applaud and cheer. Manzari Brothers, tap dancers, accompany Winans and Knight. “Sing a song,” repeated, becomes the chorus. They perform in front of an American flag projected on a large screen. The third verse is not sung.",Centric ,n/a,,
vid0014,Performance by Wintley Phipps,Wintley Phipps,"July 27, 2011",www.youtube.com/embed/feeUVUo5xBE,3:28,fieryrabbit87,Wintley Phipps,"Lift Every Voice and Sing/ The Black National Anthem written in the year 1900 by James and John Johnson. Sung by Wintley Phipps. Photos by Hans Silvester,The Malcom X Estate, and other images gathered through Google search engine. I do not own the music or the video. Please enjoy. Thanks for watching. This is an inspiring song.","Vides shows a geographical image of map of Africa and the Middle East. Various other images are presented, beginning with the map of Africa. Other images look to chart a narrative of movement of Africans across the Atlantic, to the U.S. The images narrate a history of African Americans from slavery through the contemporary. The video concludes with an image of a two-lane highway winding through desert mountains, with blue skies overhead. He sings the first and third verses. ",The uploader indicates provenance for photos of Malcolm X. Disclaims ownership of images and music.,n/a,,
vid0015,Performance by Whitney Houston,Whitney Houston,"January 3, 2014",www.youtube.com/embed/nWFFqaoSuhU,1:14,Me. I am WhitneyHouston eternal Love fan (*heart emoji*),Whitney Houston,Provider: Me. I am Whitney Houston Eterlal love fan,"Appears to be a tv show called “Entertainment Tonight” with host, Leeza Gibbons. Dressed in white, including a white hat, Houston performs as the credits roll quickly across the screen. She hums along to the music before finally saying, “I forgot the words.” However, she locates the end of the first verse, belting out, “facing the rising sun...” A digitized version of the American flag flashes across the screen. Filmed in 1988. ","Paramount Pictures Corp., 1988. ",n/a,,
vid0016,Performance by Grace Baptist Church Cathedral Choir,"Grace Baptist Church Cathedral Choir; Derrick Levon James, conductor",February 3. 2009,www.youtube.com/embed/MyS3HPInHtI,4:57,The Balm In Gilead Inc.," Lift Every Voice, Grace Baptist Church","This video of the “Negro National Anthem” was originally screened at the historic African-American Church Inaugural Ball in Washington, DC on January 18th, 2009. Many of the esteemed individuals featured in this video were in attendance and were presented with the “Keepers of the Flame” award for their monumental contributions to social justice. Order your copy today for a donation of $15.00. (Click the link below to get your copy) This version of the song was performed by the Grace Baptist Church Cathedral Choir, conducted by Derrick James. The video was produced and donated by Ascender Communications, LLC (www.ascender-c.com) at the request of The Balm In Gilead, Inc. ","This video features video and image montages. It includes images of the pyramids of Egypt, and like the video posted by fieryrabbit87 (Wintley Phipps performance) charts a history of African American experiences--from the continent to slave ships to plantations and freedom marches to the contemporary. It features clips from the video-taped beating of Rodney King, Hurricane Katrina victims, the Obama victory. The lyrics, “true to our native land” is superimposed over the video of President Obama's victory speech in Chicago (2008). A final image sees Obama, arms folded, with the seal of the presidential office behind him, the words “MR PRESIDENT” superimposed. All verses are performed. ",The Balm In Gilead Inc.,n/a,,
vid0017,Performance by Justin Roland and the PS22 Chorus,Justin Roland and PS22 Chorus,"September 23, 2006",www.youtube.com/embed/PkaspwSutdI,1:52,PS22 Chorus,PS22 Chorus,"The African-American anthem sung beautifully by fourth grader Justin! The PS22 Chorus is not a middle, intermediate, or high school group.  It is comprised of about 70 public elementary school fifth graders from New York City.  Visit our above website for more!.","A chorus of school children accompany a soloist, Justin. The children wear oversized t-shirts--some orange, some light gree--which indicate the parts they will sing (alto, soprano,etc.). Justin sings soprano. The chorus and Justin enage in call-and-response. Some adults in the school auditorium stand. Children and adults cheer loudly when Justin hits a high note. They sing the first verse.",The PS22 Chorus,"Staten Island, NY",,
vid0018,Film Trailer: Rosenwald,"Julius Rosenwald, Booker T. Washington, et al","July 13, 2015",www.youtube.com/embed/LyLWd5F3CPQ,2:35,The Ciesla Foundation,Rosemwald Trailer,“Lift Every Voice and Sing” plays in the background. Comes to theaters August 14th! Find a screening near you!,This a film trailer. “Lift Every Voice and Sing” plays in the background.,The Ciesla Foundation,n/a,,
vid0019,Performance by Leontyne Price,Leontyne Price,"November 8, 2014",www.youtube.com/embed/tVBV6Z_PmAk,4:33,Provided to YouTube by Sony Music Entertainment,Lift Ev'ry Voice and Sing · Leontyne Price,"Lift Ev'ry Voice and Sing · Leontyne Price / 萊恩泰妮普萊絲 · Charles Gerhardt / 蓋哈特 · J. Rosamond Johnson · National Philharmonic Orchestra. The Essential Leontyne Price: Spirituals, Hymns & Sacred Songs","Video features an image of the album/CD cover. Price wears a white sequined dress and mactching turban. Arms outstretched at hip length, the image shows her head tilted up and gaze above the eyeline. She performs all verses.","BMG Music, 1982",n/a,,
vid0020,Performance by Hasan Green,Hasan Green,"January 19, 2011",www.youtube.com/embed/9O-wDEZq7-8,4:30,TheAulegend,"“Lift Every Voice and Sing,”  Hasan Green","“Lift Every Voice and Sing,”...“Black National Anthem”","Green appears to be performing in his home, possibly the bathroom (acoustics). His performance marks Martin Luther King, Jr.'s birthday. He refers to the song as “The Black National Anthem” and invokes the memory of his grandmother teaching him the song as a child from the “Songs of Zion” hymnals. He sings all three verses of the song.",Hasan Green,n/a,,
vid0021,Performance by Kourtni Capree,Kourtni Capree,"May 10, 2015",www.youtube.com/embed/MYlYdG7BoVs,1:57,KourtniCapree,“Lift Every Voice and Sing”,Black National Anthem Lift Every Voice and Sing. Provider: The Baddest ButchQUEENnDRAG MC,"The performer, KourtniCapree, is visible from the neck and above (a slight bit of shoulder is visible). Only the first verse is performed. ",Kourtni Capree,n/a,,
vid0022,Performance by June's Diary,June's Diary,"October  2, 2016",https://www.youtube.com/embed/jmrsCXGGaIk,3:09,Concert Daily,June's Diary performs,"Newly formed female group June's Diary was added as the opening act of R. Kelly's Buffet Tour. Watch as they perform a rousing rendition of the Negro National Anthem, ""Lift Every Voice"" live at the Royal Farms Arena in Baltimore, MD.

Visit ConcertDaily.com for all of your concert needs, including pics, videos, reviews and much more!

Follow:
@JunesDiary
 @Ashlyisofficial 
@BriennaDevlugt
@gabbysmouth
@officialShyann
@itsKristallyn
@concertdaily","Performing in Baltimore, the group serves as the opening act for an R. Kelly show. Kristall notes that the group was asked recently to perform the national anthem at a celebrity basketball tournament. They had not heard of the song before. They ask the audience to stand; audience members can be heard in the background refusing to stand, laughing. Audience members continue to talk throughout the performance. Comments section expresses displeasure at audience speaking throughout the performance. June's Diary members remind the audience to vote. They sing only the first verse.",Concert Daily,"Baltimore, MD",,
vid0023,Performance by Chicago Children's Choir,Chicago Children's Choir,"December 16, 2007",www.youtube.com/embed/6LAr9yIbcDQ,1:13,Kelly Blumenthal,Chicago Children's Choir,"Songs of the Season Concert. This song is “Lift Every Voice and Sing” sung by all the choirs, Beverly, Humboldt Park, Lincoln Park and DiMension.",The children's choir sings only the first verse of the song. ,Chicago Children's Choir,"Chicago, IL",,
vid0024,Performance by René Marie,René Marie,"March 3, 2011",www.youtube.com/embed/LIv2yNecYDM,5:12,motemamusic,Lift Ev'ry Voice and Sing / Star Spangled Banner,"In 2008 Rene Marie was asked to sing the National Anthem at Denver's State of the City address. The outcome was Rene singing “Lift Ev'ry Voice and Sing”, “the black national anthem” to the tune of The Star Spangled Banner. This caused a firestorm of controversy. This clip is taken from Rene Marie's performance the Bridgestone Music Festival. Her version of “Lift Ev'ry Voice & Sing/ Star Spangled Banner” can be found on her Motema album “Voice of My Beautiful Country”:","Rene Marie performs the first verse of “Lift Every Voice and Sing,” her unique remixing of the song to the tune of “The Star-Spangled Banner.” She then segues into a jazz rendition of the American National Anthem; she then returns to “Lift Every Voice and Sing.” She repeats “let us march on/ ... till victory is won” in call-and-response with the band. ","Rene Marie, Motema Music",n/a,,
vid0025,Performance by The Joslin Grove Choral Society,The Joslin Grove Choral Society,"January 18, 2013",www.youtube.com/embed/ucGwALWXDVM,3:08,Jonell Hinsey,Lift Every Voice & Sing,n/a,"The video is a photo montage of various historical figures, mostly related to the modern civil rights movement: Martin Luther King, Jr. and President Lyndon Johnson; ends with an image of the MLK memorial and a final image of King, with a quote from King: “The hope of a secure and livable world lies with disciplined noncomformists who are dedicated to Justice, Peace, and Brotherhood.” Only the first and third verses are sung. ","WMG, Exploration Group LLC_Sound Recordings; ASCAP, LatinAutor, UNIAO BRASILEIRA DE EDITORAS DE MUSICA - UBEM, LatinAutor - PeerMusic, Abramus Digital, and 1 Music Rights Societies",n/a,,
vid0026,"Natasha Alford, theGrio",various,"October 7, 2017",https://www.youtube.com/embed/38sxYtHRGGw,4:08,theGrio,Why we “Lift Every Voice and Sing” ,"With so much debate around the national anthem recently, we thought it was time to revisit the historic meaning of “Lift Ev'ry and Sing,” the song unofficially known as the “black national anthem.”

theGrio's Deputy Editor, Natasha Alford, breaks down the story behind the 100+ year old hymn and its meaning to our culture. 


Read more here: http://thegrio.com/2017/10/07/why-we-...

Follow Us : 

http://thegrio.com/
https://twitter.com/thegrio
http://thegrio.tumblr.com/
https://www.facebook.com/theGrio
http://instagram.com/thegrio
https://foursquare.com/thegrio
http://www.pinterest.com/thegrio/
https://plus.google.com/u/0/+thegrio


Video news from www.thegrio.com.","Natasha Alford looks at the history of the song; the video includes interviews with folks on the street., one of whom asks if it is “an old slave song or something.” Video looks at some performance culled from YouTube (some featured in this collection). ","theGrio, 2017",n/a,,
vid0027,Performance by 7th Element,7th Element,"March 14, 2010",www.youtube.com/embed/YWLb4o7Vbjc,5:22,Evertone Siwela,7th Element,"Here are six Christian men from Orlando, Florida, whose God, the 7th Element, has called them to minister to others, to reach peoples’ hearts with a positive message in music. David ‘Dee’ Glover, Marc Dwyer, Darren Greene, Garth, Curt and Kevin perform their mission well. In a way, 7th Element has actually been in the making for decades. “Four of the guys in the group, Garth, Kevin, Darren and Curt Greene, are brothers. it's clear as they break into a stunning harmonic jazz chord that 7th Element is something very special. Vol. I album, has several songs written and arranged by the group members, with very cool with little spoken set pieces.Beautiful, soaring falsetto voices and cutting edge arrangements make 'Vol. I' as impressive as any well accomplished a cappella group. Volume One, has already drawn comparisons to multi-GRAMMY winning and platinum-selling artist, Take 6, and garnering high praise for expanding Take 6's legacy by venturing into new and cutting-edge forms. When it came time to choose a name for their new group, the members of 7th Element wanted the glory going to Christ rather than to themselves as individuals. Marc comments, “We figured that each of us came together to be an important element in the harmony, but the most important one was the Lord. So, each of us took a number, Element one through Element six, and we gave Christ his holy number, Element Seven. Thus, the group is named after the 7th Element.” Group members felt especially compelled to honor Christ through their name and their music because they say none of this would have ever happened without some amazing and timely divine intervention. 7th Element's diverse sound, its uncompromising message, and the astounding talent of each individual member has already fueled an incredible demand for appearances, with requests already pouring in from cities nationwide, as well as from three countries in Europe. In addition to their musical pursuits, group members have also set up the E7 Youth Development Group, in order to help young people get an education and pursue their dreams in music. Every copy of Volume One sold will help fund the non-profit organization, which will provide several deserving children each year with the money for a Christian education. In addition, the E7 Youth Development Group has a mentorship program to help aspiring artists. Group members will sponsor young musicians, flying the students to Orlando, taking them to Disney World, giving them a behind-the-scenes glimpse of performances, and buying them music equipment of their own to help advance their careers. Through their long history, the divine grace that brought them together, and their desire to help others through their musical success, the members of 7th Element have created a strong new future for themselves, a success story that no doubt will have many volumes. As David sums up, “We just want others to understand that you don't have to compromise your faith in God to be successful. We are not just singers but professionals and family men. We want to be an example through our lives, showing others that there is value in doing things the right way, God's way. Our youth need to see that. Through our music and the E7 Youth Development Group, that's the message we hope to portray.” “Lift every voice and sing, ‘Til earth and heaven ring, Ring with the harmonies of Liberty; Let our rejoicing rise High as the listening skies, Let it resound loud as the rolling sea. Sing a song full of the faith that the dark past has taught us, Sing a song full of the hope that the present has brought us; Facing the rising sun of our new day begun, Let us march on 'til victory is won. Stony the road we trod, Bitter the chast'ning rod, Felt in the days when hope unborn had died; Yet with a steady beat, Have not our weary feet Come to the place for which our fathers sighed? We have come over a way that with tears has been watered, We have come, treading our path through the blood of the slaughtered, Out from the gloomy past, ‘Til now we stand at last Where the white gleam of our bright star is cast. God of our weary years, God of our silent tears, Thou who has brought us thus far on the way; Thou who has by Thy might Led us into the light, Keep us forever in the path, we pray. Lest our feet stray from the places, our God, where we met Thee, Lest, our hearts drunk with the wine of the world, we forget Thee; Shadowed beneath Thy hand, May we forever stand, True to our God, True to our native land.",Video features album cover images of the group as well as a more recent image of the group members. A cappella performance. They sing only the first verse.,n/a,"Orlando, FL",,
vid0028,Performance by Aretha Franklin,Aretha Franklin,"June 4, 2017",www.youtube.com/embed/8QK4p22LHtw,4:38,Makowski Music, Aretha Franklin (LIVE),Lift every voice and sing ‘Til earth and heaven ring Ring with the harmony of Liberty Let our rejoicing rise High as the listening skies Let it resound loud as the rolling sea Sing a song full of the faith That our dark past has taught us Sing a song full of the hope That the present has brought us Facing the rising sun Of a new day begun Let us march on 'til victory is won!,"Franklin rephrases the song, “ring with the harmony of dignity”; she also transposes some lines and calls on the audience to sing: “Everyone sing...”",2Live,n/a,,
vid0029,Performance by Boston Pops,Boston Pops,"Jan 17, 2009",www.youtube.com/embed/Uv1xDg-zngg,3:56,DS9Sisko,Obama Inauguration Tribute,"Since I cannot attend the Inauguration, here is my own personal tribute to and celebration of — as a Black man and a proud citizen — the historic election of Barack Obama as President of the United States, an event I never thought I would live to see in my lifetime. Historic African Americans and Others Featured (in order): Crispus Attucks, Dred Scott, Nat Turner, Harriet Tubman, John Brown, Frederick Douglass, Abraham Lincoln, Madam CJ Walker, WEB Dubois, Booker T Washington, Marcus Garvey, Jack Johnson, Jackie Robinson, Dr. Charles Drew, Rosa Park, Malcolm X, Marian Anderson, Martin Luther King Jr, Muhammad Ali, Shirley Chisholm, and Mae Jemison “Life Every Voice And Sing” aka “The Negro National Anthem” - Video Edit (written by James Weldon Johnson) Lift every voice and sing, till earth and heaven ring, Ring with the harmonies of liberty; Let our rejoicing rise High as the listening skies, Let it resound loud as the rolling sea. Sing a song full of the faith that the dark past has taught us, Sing a song full of the hope that the present has brought us; facing the rising sun of our new day begun, let us march on till victory is won. Stony the road we trod, bitter the chastening rod, felt in the days when hope unborn had died; yet with a steady beat, have not our weary feet come to the place for which our fathers died? We have come over a way that with tears have been watered, We have come, treading our path through the blood of the slaughtered, out from the gloomy past, till now we stand at last where the white gleam of our bright star is cast. Lest our feet stray from the places, our God, where we met thee; lest our hearts drunk with the wine of the world, we forget thee, shadowed beneath thy hand, may we forever stand, true to our God, true to our native land. ---------------------- The content of this video comes from different sources and the figures, incidents and historic references are meant only as a broad and general overview of Black American Historic Fugures, NOT an exhaustive survey. (in other words, if you believe that some people should have been featured and others omitted, that really isn't the point of this tribute.) Music: “Lift Every Voice and Sing” also known as “The Negro National Anthem,” performed by the Boston Pops. (No copyright infringement intended; for entertainment purposes only.)","This video is a mashp created by DS9Sisko, who uses archival images and materials (newspaper clippings, postcards) to narrate the experiences of African Americans from the slave ships to the Obama presidency. The video ends with an image of the American flag undulating in the wind, against a clear blue sky and sharp white clouds. The video features images of all U.S. presidents. He ends with two lines, super-imposed on the video: 1. “how far we've come” and 2. “with miles yet to go.” The video is interesting for several reasons, but here I will just mention one: the user's moniker, DS9Sisko, which references Star Trek: Deep Space Nine and the space station's captain, Benjamin Sisko, played by Avery Brooks. Brooks's character served as a model for African Americans, marking his appearance as a major, positive representations of Black masculinity and Black fatherhood in the public sphere. All three verses of the song are performed.",Music: Boston Pops,n/a,,
vid0030,Performance by Young Hughes,Young Hughes,"April 6, 2013",www.youtube.com/embed/tEo_9XHDzNo,3:08,Young Hughes,The Young Artist,"Video Title: The Young Artist (Young Hughes) Lift Ev'ry Voice and Sing-James Weldon Johnson. Video notes:  A channel where i express myself through the arts for people to enjoy and listen. I get deep sometimes so expect those to come, and any suggestions you have, feel free to post them.","An African American young man, identifies this as a poem, and recites dramatically. He had previously read it as part of a poetry competition in February (though the video was uploaded in April). He emphasizes that he had to learn the entire poem and learned it “bit by bit by bit.” Describes the meaning of the poem to him in helping him understand himself as an “African American male.” He performs all three verses.",Young Hughes,n/a,,
vid0031,Artist Unknown,unknown (possibly Harpista1979),"February 28, 2013",www.youtube.com/embed/UUMpZ9JgBDc,2:30,Harpista1979,Harpista79,“Lift Every Voice and Sing on the harp”,Instrumental version of the song. Harpist is featured from the neck down; her face is not revealed. She appears to be African American and female. ,harpista1979,n/a,,
vid0032,Performance by Roy Haynes,Roy Haynes,"November 6, 2014",www.youtube.com/embed/TKC5ehf4swM,9:32,Roy Haynes,You Name It/Lift Every Voice,Provided to YouTube by DashGo,"From the album, Equipoise; see also, interview with Haynes on performing “Lift Every Voice and Sing”:  https://jazztimes.com/features/profiles/roy-haynes-force-of-nature/","℗ 1991 Mainstream Records Released on: 1991-05-01; Original Release Date: January 1, 1972
Release Date: May 1, 1991
Label: Mainstream Records",n/a,,
vid0033,Performance by René Marie,René Marie,"July 13, 2008",www.youtube.com/embed/64BqHp1vST8,2:48,carolyn,National Anthem Remix,"Rene Marie-Jazz Singer gives her version of the Naional Anthem Alternative (the black Anthem, Lift Every Voice...","News report on Rene Marie's performance and ensuing controversy. Denver Mayor John Hickenlooper (who was briefly a presidential contender, but withdrew from the race in 2019). In this video, Hickenlooper responds the controversy, calling “The Star-Spangled Banner” “one of our most sacred and beloved traditions.” Politicians such as  Tom Tancredo called on the mayor to condemn Marie and described her as “angry.” The news report also looked at other controversial renditions of the anthem, such as Jimi Hendrix's and a Spanish-language version. ",n/a,n/a,,
